Writer;Pages;Rating;Rating_Count;Review_Count;Title;Genre
Maurice Sendak;37 pages;4.22;707526;10364;Where the Wild Things Are;Childrens|Childrens|Picture Books|Fiction|Classics
Dr. Seuss;62 pages;4.3;519703;8147;Green Eggs and Ham;Childrens|Childrens|Picture Books|Classics|Fiction
J.K. Rowling;320 pages;4.46;5588580;88816;Harry Potter and the Sorcerer's Stone;Fantasy|Young Adult|Fiction
Yann Martel;460 pages;3.89;1149762;44771;Life of Pi;Fiction|Fantasy|Classics|Adventure
Charles Dickens;489 pages;3.82;725258;14580;A Tale of Two Cities;Classics|Fiction|Historical|Historical Fiction|Literature
S.E. Hinton;192 pages;4.08;765065;26991;The Outsiders;Classics|Young Adult|Fiction|Academic|School
Sara Gruen;335 pages;4.08;1199696;57161;Water for Elephants;Fiction|Historical|Historical Fiction|Romance|Historical
Homer;541 pages;3.74;766893;9519;The Odyssey;Classics|Fiction|Poetry|Fantasy|Mythology|Fantasy|Academic|School|Literature|Adventure|Academic|Read For School|Historical|Historical Fiction
Vladimir Nabokov;417 pages;3.89;565155;20390;Lolita;Classics|Fiction|Literature
Kurt Vonnegut;275 pages;4.07;977825;22329;Slaughterhouse-Five;Classics|Fiction|Science Fiction|War
Joseph Heller;453 pages;3.98;639139;15255;Catch-22;Classics|Fiction|War|Historical|Historical Fiction|Humor
Mary Wollstonecraft Shelley;273 pages;3.77;973406;23951;Frankenstein;Classics|Fiction|Horror|Science Fiction|Gothic|Fantasy|Literature|Academic|School|Novels|Literature|19th Century
Khaled Hosseini;371 pages;4.27;2077166;64615;The Kite Runner;Fiction|Historical|Historical Fiction|Contemporary
Ken Follett;973 pages;4.3;552602;28164;The Pillars of the Earth;Historical|Historical Fiction|Fiction|Historical
Stephen King;1153 pages;4.34;523830;15647;The Stand;Horror|Fiction|Fantasy|Science Fiction|Apocalyptic|Post Apocalyptic
Lois Lowry;208 pages;4.12;1452412;58451;The Giver;Young Adult|Fiction|Classics|Science Fiction|Dystopia|Science Fiction
Richard Adams;478 pages;4.06;331158;11489;Watership Down;Classics|Fiction|Fantasy|Young Adult|Animals
Margaret Atwood;311 pages;4.09;944897;51091;The Handmaid's Tale;Fiction|Classics|Science Fiction|Dystopia|Science Fiction|Feminism
Arthur Conan Doyle;339 pages;4.3;207674;5624;The Adventures of Sherlock Holmes;Classics|Mystery|Fiction|Short Stories|Mystery|Crime|Mystery|Detective|Literature|Adventure|Literature|19th Century|Historical|Historical Fiction
Jodi Picoult;423 pages;4.06;955234;31913;My Sister's Keeper;Fiction|Contemporary|Womens Fiction|Chick Lit
Ken Kesey;325 pages;4.19;543387;8877;One Flew Over the Cuckoo's Nest;Classics|Fiction|Literature|Psychology
Sylvia Plath;244 pages;3.99;491544;18332;The Bell Jar;Classics|Fiction|Feminism|Psychology|Mental Health|Mental Illness|Literature|Health|Mental Health|Novels|Poetry|Literature|American
Diana Gabaldon;850 pages;4.22;668422;40168;Outlander;Historical|Historical Fiction|Romance|Fantasy|Fiction|Science Fiction|Time Travel|Historical|Romance|Historical Romance
Stieg Larsson;465 pages;4.13;2182830;64906;The Girl with the Dragon Tattoo;Fiction|Mystery|Thriller|Mystery|Crime
Daphne du Maurier;449 pages;4.21;366815;17470;Rebecca;Classics|Fiction|Mystery|Romance|Gothic
Betty Smith;496 pages;4.25;333330;17523;A Tree Grows in Brooklyn;Classics|Fiction|Historical|Historical Fiction|Young Adult
Roald Dahl;240 pages;4.29;497665;12902;Matilda;Childrens|Fiction|Fantasy|Classics
Alice Walker;295 pages;4.18;440592;11325;The Color Purple;Classics|Fiction|Historical|Historical Fiction|Feminism
J.R.R. Tolkien;398 pages;4.35;2021782;17444;The Fellowship of the Ring;Fantasy|Classics|Fiction|Adventure
Louisa May Alcott;449 pages;4.05;1429608;19045;Little Women;Classics|Fiction|Historical|Historical Fiction|Young Adult
Cormac McCarthy;241 pages;3.96;612741;41379;The Road;Fiction|Science Fiction|Science Fiction|Dystopia|Apocalyptic|Post Apocalyptic
Frank McCourt;452 pages;4.09;466398;10595;Angela's Ashes;Nonfiction|Autobiography|Memoir|Biography
Anthony Burgess;212 pages;3.99;508614;11247;A Clockwork Orange;Classics|Fiction|Science Fiction|Science Fiction|Dystopia
Fyodor Dostoyevsky;796 pages;4.32;196403;8719;The Brothers Karamazov;Classics|Fiction|Cultural|Russia|Literature|Literature|Russian Literature
Frank Herbert;604 pages;4.21;585539;15277;Dune;Science Fiction|Fiction|Fantasy|Classics
Richelle Mead;332 pages;4.13;491540;20760;Vampire Academy;Young Adult|Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance
Barbara Kingsolver;546 pages;4.04;595935;21100;The Poisonwood Bible;Fiction|Historical|Historical Fiction|Cultural|Africa|Classics
Hermann Hesse;152 pages;4;474735;13514;Siddhartha;Classics|Fiction|Philosophy|Religion|Literature|Spirituality
Ayn Rand;1168 pages;3.68;320850;15696;Atlas Shrugged;Fiction|Classics|Philosophy|Literature|Politics
J.K. Rowling;759 pages;4.62;2068269;56774;Harry Potter and the Deathly Hallows;Fantasy|Young Adult|Fiction
Miguel de Cervantes Saavedra;1023 pages;3.86;174044;6211;Don Quijote;Classics|Fiction|Literature|European Literature|Spanish Literature
Philip Pullman;399 pages;3.96;1094029;17109;The Golden Compass;Fantasy|Young Adult|Fiction
