t,value
1572281852,47
1572281855,46
1572281858,46
1572281861,46
1572281864,48
1572281867,48
1572281870,48
1572281873,48
1572281876,48
1572281879,47
1572281882,47
1572281885,47
1572281888,47
1572281891,47
1572281894,48
1572281897,48
1572281900,48
1572281903,48
1572281906,48
1572281909,47
1572281912,47
1572281915,46
1572281918,48
1572281921,48
1572281924,48
1572281927,47
1572281930,48
1572281933,48
1572281936,48
1572281939,48
1572281942,48
1572281945,47
1572281948,47
1572281951,47
1572281954,46
1572281957,46
1572281960,46
1572281963,46
1572281966,47
1572281969,47
1572281972,47
1572281975,46
1572281978,46
1572281981,46
1572281984,46
1572281987,47
1572281990,47
1572281993,47
1572281996,48
1572281999,48
1572282002,48
1572282005,46
1572282008,47
1572282011,48
1572282014,48
1572282017,47
1572282020,46
1572282023,46
1572282026,48
1572282029,48
1572282032,48
1572282035,47
1572282038,47
1572282041,47
1572282044,47
1572282047,49
1572282050,50
1572282053,50
1572282056,50
1572282059,50
1572282062,50
1572282065,49
1572282068,48
1572282071,48
1572282074,47
1572282077,47
1572282080,46
1572282083,46
1572282086,47
1572282089,47
1572282092,47
1572282095,46
1572282098,46
1572282101,46
1572282104,46
1572282107,47
1572282110,47
1572282113,47
1572282116,46
1572282119,46
1572282122,46
1572282125,46
1572282128,47
1572282131,47
1572282134,48
1572282137,48
1572282140,46
1572282143,46
1572282146,47
1572282149,47
1572282152,47
1572282155,46
1572282158,46
1572282161,46
1572282164,46
1572282167,47
1572282170,48
1572282173,48
1572282176,47
1572282179,47
1572282182,46
1572282185,46
1572282188,48
1572282191,48
1572282194,48
1572282197,47
1572282200,47
1572282203,46
1572282206,47
1572282209,47
1572282212,47
1572282215,46
1572282218,46
1572282221,46
1572282224,46
1572282227,47
1572282230,47
1572282233,47
1572282236,46
1572282239,48
1572282242,48
1572282245,46
1572282248,49
1572282251,50
1572282254,50
1572282257,50
1572282260,50
1572282263,50
1572282266,48
1572282269,48
1572282272,47
1572282275,47
1572282278,47
1572282281,46
1572282284,46
1572282287,47
1572282290,47
1572282293,47
1572282296,46
1572282299,46
1572282302,46
1572282305,46
1572282308,47
1572282311,47
1572282314,46
1572282317,47
1572282320,48
1572282323,48
1572282326,48
1572282329,48
1572282332,48
1572282335,48
1572282338,48
1572282341,48
1572282344,48
1572282347,50
1572282350,49
1572282353,48
1572282356,48
1572282359,48
1572282362,48
1572282365,48
1572282368,48
1572282371,48
1572282374,48
1572282377,47
1572282380,48
1572282383,48
1572282386,48
1572282389,48
1572282392,48
1572282395,48
1572282398,48
1572282401,47
1572282404,47
1572282407,47
1572282410,47
1572282413,48
1572282416,48
1572282419,48
1572282422,47
1572282425,48
1572282428,48
1572282431,48
1572282434,48
1572282437,48
1572282440,47
1572282443,46
1572282446,47
1572282449,47
1572282452,47
1572282455,46
1572282458,46
1572282461,46
1572282464,46
1572282467,47
1572282470,47
1572282473,47
1572282476,46
1572282479,46
1572282482,46
1572282485,46
1572282488,47
1572282491,47
1572282494,46
1572282497,46
1572282500,46
1572282503,46
1572282506,47
1572282509,47
1572282512,47
1572282515,46
1572282518,46
1572282521,46
1572282524,46
1572282527,47
1572282530,47
1572282533,47
1572282536,48
1572282539,48
1572282542,48
1572282545,47
1572282548,47
1572282551,47
1572282554,48
1572282557,48
1572282560,48
1572282563,48
1572282566,48
1572282569,48
1572282572,48
1572282575,48
1572282578,48
1572282581,48
1572282584,48
1572282587,48
1572282590,48
1572282593,48
1572282596,48
1572282599,48
1572282602,48
1572282605,48
1572282608,48
1572282611,48
1572282614,48
1572282617,46
1572282620,46
1572282623,46
1572282626,47
1572282629,47
1572282632,47
1572282635,46
1572282638,46
1572282641,46
1572282644,47
1572282647,49
1572282650,49
1572282653,49
1572282656,49
1572282659,49
1572282662,49
1572282665,49
1572282668,49
1572282671,49
1572282674,49
1572282677,49
1572282680,49
1572282683,49
1572282686,49
1572282689,49
1572282692,49
1572282695,49
1572282698,48
1572282701,49
1572282704,48
1572282707,48
1572282710,48
1572282713,48
1572282716,47
1572282719,47
1572282722,47
1572282725,46
1572282728,47
1572282731,48
1572282734,48
1572282737,48
1572282740,48
1572282743,48
1572282746,48
1572282749,48
1572282752,47
1572282755,48
1572282758,48
1572282761,47
1572282764,47
1572282767,47
1572282770,47
1572282773,47
1572282776,46
1572282779,48
1572282782,48
1572282785,51
1572282788,51
1572282791,49
1572282794,48
1572282797,48
1572282800,47
1572282803,47
1572282806,47
1572282809,47
1572282812,47
1572282815,48
1572282818,48
1572282821,47
1572282824,46
1572282827,47
1572282830,47
1572282833,47
1572282836,46
1572282839,46
1572282842,46
1572282845,46
1572282848,49
1572282851,49
1572282854,48
1572282857,47
1572282860,47
1572282863,46
1572282866,47
1572282869,47
1572282872,47
1572282875,46
1572282878,46
1572282881,46
1572282884,46
1572282887,47
1572282890,47
1572282893,47
1572282896,46
1572282899,46
1572282902,46
1572282905,46
1572282908,47
1572282911,47
1572282914,47
1572282917,46
1572282920,46
1572282923,46
1572282926,47
1572282929,47
1572282932,47
1572282935,46
1572282938,46
1572282941,46
1572282944,46
1572282947,47
1572282950,47
1572282953,47
1572282956,46
1572282959,46
1572282962,46
1572282965,46
1572282968,47
1572282971,47
1572282974,47
1572282977,46
1572282980,46
1572282983,46
1572282986,47
1572282989,47
1572282992,47
1572282995,46
1572282998,46
1572283001,46
1572283004,46
1572283007,47
1572283010,47
1572283013,47
1572283016,46
1572283019,46
1572283022,46
1572283025,46
1572283028,47
1572283031,47
1572283034,47
1572283037,46
1572283040,46
1572283043,46
1572283046,47
1572283049,47
1572283052,47
1572283055,46
1572283058,46
1572283061,46
1572283064,46
1572283067,47
1572283070,47
1572283073,47
1572283076,46
1572283079,46
1572283082,46
1572283085,46
1572283088,47
1572283091,47
1572283094,47
1572283097,46
1572283100,46
1572283103,46
1572283106,47
1572283109,47
1572283112,47
1572283115,46
1572283118,46
1572283121,46
1572283124,46
1572283127,47
1572283130,47
1572283133,47
1572283136,46
1572283139,46
1572283142,46
1572283145,46
1572283148,47
1572283151,47
1572283154,47
1572283157,46
1572283160,46
1572283163,46
1572283166,47
1572283169,47
1572283172,47
1572283175,46
1572283178,46
1572283181,46
1572283184,46
1572283187,47
1572283190,47
1572283193,47
1572283196,46
1572283199,46
1572283202,46
1572283205,46
1572283208,47
1572283211,47
1572283214,47
1572283217,46
1572283220,46
1572283223,46
1572283226,48
1572283229,48
1572283232,47
1572283235,46
1572283238,46
1572283241,46
1572283244,47
1572283247,47
1572283250,47
1572283253,47
1572283256,46
1572283259,46
1572283262,46
1572283265,46
1572283268,47
1572283271,47
1572283274,47
1572283277,46
1572283280,46
1572283283,46
1572283286,47
1572283289,47
1572283292,47
1572283295,46
1572283298,47
1572283301,48
1572283304,48
1572283307,48
1572283310,47
1572283313,48
1572283316,48
1572283319,48
1572283322,46
1572283325,46
1572283328,47
1572283331,47
1572283334,47
1572283337,46
1572283340,46
1572283343,46
1572283346,47
1572283349,47
1572283352,47
1572283355,46
1572283358,46
1572283361,46
1572283364,46
1572283367,47
1572283370,47
1572283373,47
1572283376,46
1572283379,48
1572283382,48
1572283385,48
1572283388,48
1572283391,47
1572283394,47
1572283397,47
1572283400,48
1572283403,48
1572283406,48
1572283409,48
1572283412,47
1572283415,48
1572283418,48
1572283421,48
1572283424,48
1572283427,47
1572283430,47
1572283433,48
1572283436,48
1572283439,48
1572283442,48
1572283445,48
1572283448,48
1572283451,48
1572283454,48
1572283457,48
1572283460,48
1572283463,48
1572283466,48
1572283469,48
1572283472,48
1572283475,48
1572283478,48
1572283481,48
1572283484,48
1572283487,48
1572283490,48
1572283493,48
1572283496,47
1572283499,46
1572283502,46
1572283505,46
1572283508,47
1572283511,47
1572283514,47
1572283517,46
1572283520,46
1572283523,46
1572283526,47
1572283529,47
1572283532,47
1572283535,46
1572283538,46
1572283541,48
1572283544,49
1572283547,48
1572283550,48
1572283553,48
1572283556,49
1572283559,49
1572283562,49
1572283565,49
1572283568,48
1572283571,49
1572283574,49
1572283577,49
1572283580,48
1572283583,50
1572283586,50
1572283589,49
1572283592,50
1572283595,50
1572283598,49
1572283601,48
1572283604,48
1572283607,49
1572283610,49
1572283613,49
1572283616,47
1572283619,47
1572283622,47
1572283625,46
1572283628,47
1572283631,47
1572283634,47
1572283637,46
1572283640,46
1572283643,46
1572283646,47
1572283649,47
1572283652,47
1572283655,46
1572283658,46
1572283661,46
1572283664,46
1572283667,47
1572283670,48
1572283673,49
1572283676,50
1572283679,49
1572283682,49
1572283685,47
1572283688,48
1572283691,48
1572283694,48
1572283697,48
1572283700,48
1572283703,48
1572283706,48
1572283709,48
1572283712,48
1572283715,48
1572283718,48
1572283721,48
1572283724,48
1572283727,48
1572283730,48
1572283733,48
1572283736,48
1572283739,48
1572283742,47
1572283745,46
1572283748,49
1572283751,49
1572283754,48
1572283757,48
1572283760,49
1572283763,49
1572283766,49
1572283769,49
1572283772,49
1572283775,49
1572283778,49
1572283781,49
1572283784,49
1572283787,49
1572283790,50
1572283793,50
1572283796,48
1572283799,49
1572283802,49
1572283805,47
1572283808,47
1572283811,47
1572283814,47
1572283817,46
1572283820,46
1572283823,46
1572283826,47
1572283829,47
1572283832,47
1572283835,46
1572283838,46
1572283841,48
1572283844,48
1572283847,47
1572283850,47
1572283853,47
1572283856,46
1572283859,46
1572283862,46
1572283865,46
1572283868,47
1572283871,47
1572283874,47
1572283877,46
1572283880,46
1572283883,46
1572283886,47
1572283889,47
1572283892,47
1572283895,46
1572283898,46
1572283901,46
1572283904,48
1572283907,48
1572283910,48
1572283913,48
1572283916,48
1572283919,48
1572283922,48
1572283925,48
1572283928,48
1572283931,47
1572283934,47
1572283937,47
1572283940,47
1572283943,48
1572283946,48
1572283949,48
1572283952,47
1572283955,47
1572283958,47
1572283961,48
1572283964,48
1572283967,47
1572283970,47
1572283973,47
1572283976,46
1572283979,46
1572283982,46
1572283985,46
1572283988,50
1572283991,51
1572283994,51
1572283997,51
1572284000,50
1572284003,50
1572284006,48
1572284009,48
1572284012,48
1572284015,48
1572284018,48
1572284021,48
1572284024,48
1572284027,47
1572284030,51
1572284033,50
1572284036,49
1572284039,49
1572284042,48
1572284045,48
1572284048,47
1572284051,47
1572284054,47
1572284057,46
1572284060,46
1572284063,46
1572284066,47
1572284069,47
1572284072,47
1572284075,47
1572284078,46
1572284081,46
1572284084,48
1572284087,48
1572284090,48
1572284093,48
1572284096,47
1572284099,46
1572284102,47
1572284105,48
1572284108,51
1572284111,49
1572284114,50
1572284117,50
1572284120,49
1572284123,50
1572284126,50
1572284129,50
1572284132,50
1572284135,50
1572284138,50
1572284141,50
1572284144,49
1572284147,48
1572284150,49
1572284153,49
1572284156,47
1572284159,47
1572284162,47
1572284165,46
1572284168,49
1572284171,49
1572284174,49
1572284177,48
1572284180,48
1572284183,47
1572284186,47
1572284189,47
1572284192,47
1572284195,47
1572284198,46
1572284201,47
1572284204,47
1572284207,47
1572284210,47
1572284213,47
1572284216,47
1572284219,48
1572284222,48
1572284225,48
1572284228,48
1572284231,48
1572284234,47
1572284237,46
1572284240,47
1572284243,47
1572284246,47
1572284249,47
1572284252,47
1572284255,47
1572284258,48
1572284261,48
1572284264,50
1572284267,49
1572284270,48
1572284273,48
1572284276,47
1572284279,46
1572284282,46
1572284285,46
1572284288,50
1572284291,50
1572284294,49
1572284297,48
1572284300,48
1572284303,47
1572284306,47
1572284309,47
1572284312,47
1572284315,47
1572284318,46
1572284321,46
1572284324,47
1572284327,47
1572284330,47
1572284333,48
1572284336,48
1572284339,48
1572284342,48
1572284345,47
1572284348,50
1572284351,51
1572284354,50
1572284357,50
1572284360,50
1572284363,50
1572284366,48
1572284369,48
1572284372,48
1572284375,48
1572284378,47
1572284381,48
1572284384,48
1572284387,48
1572284390,48
1572284393,48
1572284396,48
1572284399,48
1572284402,48
1572284405,48
1572284408,49
1572284411,49
1572284414,49
1572284417,49
1572284420,49
1572284423,49
1572284426,48
1572284429,48
1572284432,48
1572284435,49
1572284438,49
1572284441,49
1572284444,50
1572284447,50
1572284450,50
1572284453,50
1572284456,50
1572284459,50
1572284462,50
1572284465,50
1572284468,50
1572284471,50
1572284474,50
1572284477,49
1572284480,49
1572284483,49
1572284486,48
1572284489,48
1572284492,49
1572284495,49
1572284498,49
1572284501,49
1572284504,49
1572284507,48
1572284510,48
1572284513,48
1572284516,47
1572284519,46
1572284522,47
1572284525,48
1572284528,48
1572284531,48
1572284534,48
1572284537,48
1572284540,48
1572284543,48
1572284546,47
1572284549,48
1572284552,48
1572284555,48
1572284558,48
1572284561,48
1572284564,48
1572284567,48
1572284570,48
1572284573,48
1572284576,47
1572284579,48
1572284582,51
1572284585,50
1572284588,50
1572284591,50
1572284594,50
1572284597,50
1572284600,50
1572284603,49
1572284606,48
1572284609,47
1572284612,47
1572284615,48
1572284618,50
1572284621,50
1572284624,50
1572284627,49
1572284630,48
1572284633,47
1572284636,48
1572284639,48
1572284642,47
1572284645,47
1572284648,51
1572284651,50
1572284654,48
1572284657,48
1572284660,48
1572284663,47
1572284666,47
1572284669,47
1572284672,46
1572284675,46
1572284678,51
1572284681,50
1572284684,48
1572284687,48
1572284690,47
1572284693,47
1572284696,47
1572284699,48
1572284702,48
1572284705,47
1572284708,47
1572284711,47
1572284714,48
1572284717,48
1572284720,47
1572284723,47
1572284726,47
1572284729,46
1572284732,46
1572284735,46
1572284738,49
1572284741,49
1572284744,48
1572284747,47
1572284750,47
1572284753,47
1572284756,46
1572284759,48
1572284762,48
1572284765,47
1572284768,46
1572284771,46
1572284774,46
1572284777,47
1572284780,48
1572284783,48
1572284786,47
1572284789,46
1572284792,46
1572284795,46
1572284798,47
1572284801,48
