t,value
1572282643,100
1572283544,78
1572284444,80
1572285345,46
t,value
1573493365,116
1573494265,108
1573504980,459
t,value
1573662545,79
t,value
1574096700,126
t,value
1575913603,1158
1575914504,614
1575915714,388
1575917496,362
1575918397,390
1575922318,1032
1575926579,426
1575927480,598
1575929701,944
1575930602,696
1575931503,1018
1575932404,938
1575933304,583
t,value
1576094352,420
1576095252,483
1576096153,408
1576097054,784
1576097955,749
1576098855,307
1576099755,309
1576100656,358
1576101556,301
1576102457,292
1576103357,335
1576104258,366
1576105158,369
1576106061,1082
1576107422,974
1576108322,483
